rule,tuple,bc,n_points,N_min,N_max,wall_hadamard,km_base,km_base_kind,cesaro_base,cesaro_base_kind,cesaro_base_name,fix_upper_base,fix_upper_base_kind,sandwich,certified_Nmax,any_certified,n_weak_Nmax,grades_coherence
3,VVDD,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.0,exact,interval,False,False,0,False
6,IVDD,pbc,6,4,9,False,1.0,exact,1.1180339887498947,fit,,2.8776347780629283,fit,interval,False,False,1,True
11,VEDD,pbc,6,4,9,False,1.0,exact,0.577350269189626,fit,,2.0832403610140626,fit,interval,False,False,0,False
17,VDVD,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.0,exact,interval,False,False,0,False
18,DVVD,pbc,6,4,9,True,1.0,exact,0.9999999999999999,fit,,3.0081176404740892,fit,interval,False,False,0,True
19,VVVD,pbc,5,4,8,True,1.0,exact,0.9198662110077999,fit,,3.5273049601711564,fit,interval,False,False,0,False
20,IDVD,pbc,6,4,9,False,1.0,exact,1.1180339887498947,fit,,3.1325868427565915,fit,interval,False,False,1,True
22,IVVD,pbc,6,4,9,True,1.0,exact,2.43745286530596,fit,,3.662733859152166,fit,interval,False,False,1,True
23,EVVD,pbc,6,4,9,True,1.0,exact,1.666666666666666,fit,,2.9964485842350888,fit,interval,False,False,1,True
25,VIVD,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.5274443619974627,fit,interval,False,False,0,False
26,DEVD,pbc,6,4,9,False,0.9803906099397734,fit,1.4142135623730947,fit,,1.7860610059378417,fit,interval,False,False,6,True
27,VEVD,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.0553561279243135,fit,interval,False,False,0,False
33,VDDV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.871642132611364,fit,interval,False,False,0,False
35,VVDV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.4499031417153647,fit,interval,False,False,0,False
36,IDDV,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,2.9694169365270144,fit,interval,False,False,2,True
37,EDDV,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.4002569155495115,fit,interval,False,False,0,True
38,IVDV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.5523704806112146,fit,interval,False,False,0,False
39,EVDV,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.0553561279243135,fit,interval,False,False,0,False
41,VIDV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,3.087115528722656,fit,interval,False,False,0,True
43,VEDV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,2.514831598234054,fit,interval,False,False,0,False
44,IIDV,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,3.149809558173853,fit,interval,False,False,3,True
45,EIDV,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.6674211558899326,fit,interval,False,False,3,True
46,IEDV,pbc,6,4,9,False,1.0,exact,0.8660254037844388,fit,,2.105088702780135,fit,interval,False,False,1,True
