rule,tuple,bc,hsf,n_points,N_min,N_max,ergodic_from,n_sectors_at_Nmax,d_max_at_Nmax,n_recurrent_growth,n_recurrent_kappa,n_recurrent_base,n_recurrent_alpha,n_recurrent_model,d_max_growth,d_max_kappa,d_max_base,d_max_alpha,d_max_model,max_basin_growth,max_basin_kappa,max_basin_base,max_basin_alpha,max_basin_model
51,VVVV,obc0,15,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
51,VVVV,pbc,15,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
54,IVVV,obc0,14,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
54,IVVV,pbc,14,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
57,VIVV,obc0,13,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
57,VIVV,pbc,13,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
60,IIVV,obc0,12,16,6,21,,22,1048576,polynomial,0.006287119366259697,1.0063069247858127,0.8416291123981101,M2,exponential,0.6931471805599451,1.9999999999999996,1.887379141862766e-15,M2,exponential,0.6931471805599451,1.9999999999999996,1.887379141862766e-15,M2
60,IIVV,pbc,12,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
99,VVIV,obc0,11,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
99,VVIV,pbc,11,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
102,IVIV,obc0,10,16,6,21,,22,1048576,polynomial,0.006287119366259697,1.0063069247858127,0.8416291123981101,M2,exponential,0.6931471805599451,1.9999999999999996,1.887379141862766e-15,M2,exponential,0.6931471805599451,1.9999999999999996,1.887379141862766e-15,M2
102,IVIV,pbc,10,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
105,VIIV,obc0,9,16,6,21,,11,705432,polynomial,0.015091669268510133,1.0152061235530645,0.642935043237327,M1,exponential,0.6852169448874159,1.9842022513812498,-0.3210553375757894,M2,exponential,0.6852169448874159,1.9842022513812498,-0.3210553375757894,M2
105,VIIV,pbc,9,15,6,20,,13,369512,constant,0.09171340045381893,1.096050649443378,-0.5191247137649175,M0,exponential,0.6903280133952545,1.9943696059107467,-0.2548743144638403,M2,exponential,0.6903280133952545,1.9943696059107467,-0.2548743144638403,M2
108,IIIV,obc0,8,16,6,21,,170625,10946,exponential,0.5624070495233899,1.7548915313748752,-0.0002000981700465143,M2,exponential,0.4807894760828325,1.6173507580414173,0.005909914442829789,M2,exponential,0.4807894760828325,1.6173507580414173,0.005909914442829789,M2
108,IIIV,pbc,8,16,6,21,,134643,24476,exponential,0.5608919156356897,1.7522346490209646,0.021659681998900338,M2,exponential,0.48163253031985187,1.618714847370582,-0.005886378748425125,M2,exponential,0.48163253031985187,1.618714847370582,-0.005886378748425125,M2
147,VVVI,obc0,7,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
147,VVVI,pbc,7,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
150,IVVI,obc0,6,15,6,20,,11,352716,polynomial,0.003064728331119926,1.003069429412277,0.7893876853207519,M1,exponential,0.7038784388618686,2.02157808955301,-0.5373108531469544,M2,exponential,0.7038784388618686,2.02157808955301,-0.5373108531469544,M2
150,IVVI,pbc,6,15,6,20,,13,369512,polynomial,0.04127697978379663,1.0421407174844126,0.21063451116392964,M1,exponential,0.6627008788660218,1.9400250373956862,-0.013920530936086917,M2,exponential,0.6627008788660218,1.9400250373956862,-0.013920530936086917,M2
153,VIVI,obc0,5,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
153,VIVI,pbc,5,0,,,6,,,n/a,,,,,n/a,,,,,n/a,,,,
156,IIVI,obc0,4,16,6,21,,28657,432,exponential,0.4811503078107497,1.6179344548119134,0.0008607753265834628,M2,exponential,0.25615733978040944,1.2919559880202902,0.2943006128045457,M2,exponential,0.25615733978040944,1.2919559880202902,0.2943006128045457,M2
